,Unnamed: 0,date,names,locs,tweet_texts,links,linked_text,liked,topic,topic_prob,t1,t2,t3,t4,t5,political_alignment,liberal_confidence,conservative_confidence
23,23,1-Apr,Fei-Fei Li,"Stanford, CA, U.S.A.","RT @DeepLearningAI_: Join us for a special live event about AI’s future in Healthcare, featuring @drfeifei, @AndrewYNg, and @curtlanglotz a…",,,0.0,"sci, med",0.99327,sci,med,,,,Liberal,0.9998252987861633,0.00017471583851147443
24,24,1-Apr,Keir Starmer,United Kingdom,"While Boris Johnson was writing columns for newspapers, I was prosecuting terrorists and serious criminals.

A vote… https://t.co/QBgRtTkBbl",,,0.0,"talk, politics, misc",0.95681,talk,politics,misc,,,Conservative,0.0002922514686360955,0.9997077584266663
25,25,1-Apr,The New York Times,New York City,"RT @NickAtNews: NEW: In tearful testimony, George Floyd's girlfriend, Courteney Ross, described their struggle with opioid addiction over n…",,,0.0,"sci, med",0.95139,sci,med,,,,Liberal,0.9998282194137573,0.00017176649998873472
26,26,1-Apr,The Guardian,London,"Oxford University failed me over handling of rape claim, says woman https://t.co/VpyILKC757",https://www.theguardian.com/uk-news/2021/apr/01/oxford-university-failed-me-over-handling-of-claim-says-woman?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617294090,,0.0,"talk, politics, misc",0.9796,talk,politics,misc,,,Conservative,0.00010783586913021281,0.9998921155929565
27,27,1-Apr,BBC News (UK),London,Isle of Man to gradually ease lockdown https://t.co/OYkPrgj86x,https://bbc.in/39xuTGP,,0.0,"sci, electronics",0.21786,sci,electronics,,,,Liberal,0.9755379557609558,0.024462057277560234
28,28,1-Apr,The Verge,New York,MSI announces two new convertible business laptops https://t.co/1PEA4HdW5z https://t.co/Gwhw8nuQVD,https://www.theverge.com/2021/4/1/22362034/msi-summit-e13-flip-evo-e16-release-availability?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter,,0.0,"misc, forsale",0.94326,misc,forsale,,,,Liberal,0.9992451667785645,0.0007548435823991895
29,29,1-Apr,The Labour Party,,RT @CatSmithMP: Sunny #labourdoorstep in #Fleetwood out campaigning to get @CliveGrunshaw1 re-elected as our Police and Crime Commissioner…,,,0.0,"sci, crypt",0.15117,sci,crypt,,,,Liberal,0.9997678399085999,0.00023213615349959582
30,30,1-Apr,The Labour Party,,RT @claire_tigher: So proud to have been selected as the @UKLabour &amp; @CoopParty candidate for Ealing Broadway in the by-election on 6 May.…,,,0.0,"rec, sport, baseball",0.70425,rec,sport,baseball,,,Liberal,0.9994901418685913,0.0005098622059449553
31,31,1-Apr,The New York Times,New York City,"A London police officer was convicted of being a member of a banned neo-Nazi group, becoming the first British poli… https://t.co/CYezkeBrJM",,,0.0,"talk, politics, misc",0.96689,talk,politics,misc,,,Conservative,7.646299491170794e-05,0.999923586845398
32,32,1-Apr,The Labour Party,,"RT @AnnelieseDodds: Great to be out on the #LabourDoorstep with @AkashNayee, @MKLabour candidate for Stony Stratford ward. 

And really enc…",,,0.0,"rec, sport, baseball",0.5218,rec,sport,baseball,,,Liberal,0.9995765089988708,0.0004235176311340183
33,33,1-Apr,The Washington Post,"Washington, DC","Is it covid or just allergies? Your questions about symptoms and vaccines, answered. https://t.co/KJSnr2jE4m",https://wapo.st/3sIV84D,,0.0,"sci, med",0.9937,sci,med,,,,Liberal,0.9998908042907715,0.00010915390157606453
34,34,1-Apr,The Times,London,"Covid infections have continued to fall, despite the return of millions of pupils to the classroom, raising hopes f… https://t.co/3GBv3MvzPQ",,,0.0,"sci, med",0.99215,sci,med,,,,Liberal,0.9998853206634521,0.00011467283184174448
35,35,1-Apr,The New York Times,New York City,RT @qdbui: Believe or not airline travel is already back to normal at some airports across the country. But like many other things in Ameri…,,,0.0,"misc, forsale",0.45944,misc,forsale,,,,Liberal,0.9994248151779175,0.0005752054275944829
36,36,1-Apr,The Guardian,London,Remembering Roberto Baggio's greatest goal 20 years later | BY @EmmetGates for @GentlemanUltra https://t.co/CDTznxM51j,https://www.theguardian.com/football/the-gentleman-ultra/2021/apr/01/roberto-baggio-greatest-goal-20-years-later-brescia-juventus,,0.0,"rec, sport, hockey",0.97955,rec,sport,hockey,,,Liberal,0.9975560903549194,0.0024438982363790274
37,37,1-Apr,The Labour Party,,"Our plan for policing:

Get more officers out on the beat.
End the cuts to preventative services.
Give victims righ… https://t.co/skb0Imjt5O",,,0.0,"talk, politics, misc",0.66008,talk,politics,misc,,,Liberal,0.9999423027038574,5.765549940406345e-05
38,38,1-Apr,The New York Times,New York City,"Courteney Ross, George Floyd's girlfriend, told the story of their relationship through tears and laughter. She jok… https://t.co/BSlKR39Aac",,,0.0,"soc, religion, christian",0.21005,soc,religion,christian,,,Conservative,0.2108922302722931,0.7891077399253845
39,39,1-Apr,The Guardian,London,Tell us about your favourite unusual village to win a £200 holiday prize https://t.co/TB6fHwoLVi,https://www.theguardian.com/travel/2021/mar/30/tell-us-about-your-favourite-unusual-village-to-win-a-200-holiday-prize,,1.0,"misc, forsale",0.30471,misc,forsale,,,,Liberal,0.99967360496521,0.00032646534964442253
40,40,1-Apr,The Guardian,London,Diego Llorente: 'I didn’t realise how different Bielsa is in his training' https://t.co/sIA0wTjj0N,https://www.theguardian.com/football/2021/apr/01/diego-llorente-leeds-how-different-bielsa-is-in-his-training?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617293346,,0.0,"rec, sport, baseball",0.17272,rec,sport,baseball,,,Liberal,0.9996689558029175,0.0003310402389615774
41,41,1-Apr,Conservatives,,"RT @MattHancock: VACCINE UPDATE:

Yesterday, the team delivered 646,828 vaccines across the UK - including over 400,000 second doses - a ph…",,,0.0,"sci, med",0.99245,sci,med,,,,Liberal,0.9998107552528381,0.0001892153813969344
42,42,1-Apr,Emily M. Bender,,RT @emilymbender: This is terribly important: I encourage all USians to write to their representatives drawing their attention to it. (I ju…,,,0.0,"talk, religion, misc",0.22932,talk,religion,misc,,,Liberal,0.9729562401771545,0.02704368717968464
43,43,1-Apr,The Times,London,New green legislation in France will force supermarkets to devote a fifth of their shelves to “refill stations” sel… https://t.co/hDlSzVsgVC,,,0.0,"misc, forsale",0.58386,misc,forsale,,,,Liberal,0.8796592354774475,0.1203407570719719
44,44,1-Apr,The Guardian,London,Derek Chauvin trial: witness breaks down on stand while watching video https://t.co/M82uXA4KMN,https://www.theguardian.com/us-news/2021/apr/01/derek-chauvin-trial-witness-charles-mcmillian?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1617293176,,0.0,"talk, politics, misc",0.96726,talk,politics,misc,,,Liberal,0.8812161087989807,0.1187838613986969
45,45,1-Apr,The Guardian,London,Death by chocolate: Kennel Club in Easter warning to dog owners https://t.co/hNhAVzD1pC,https://www.theguardian.com/lifeandstyle/2021/apr/01/chocolate-poisoning-kennel-club-easter-warning-dog-owner-easter?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617292601,,1.0,"rec, motorcycles",0.81525,rec,motorcycles,,,,Liberal,0.9700238108634949,0.029976176097989082
46,46,1-Apr,The Verge,New York,Aperta and its solar car are back from the dead https://t.co/BVY7iVvb00 https://t.co/jVrc5XevJ8,https://www.theverge.com/2021/4/1/22358355/aptera-ev-three-wheeled-doe-atvm-loan-program?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter,,0.0,"misc, forsale",0.58331,misc,forsale,,,,Liberal,0.9994403719902039,0.0005596461705863476
47,47,1-Apr,The Washington Post,"Washington, DC","Democrats, Republicans and businesses gird for battle over Biden’s proposed tax hikes https://t.co/pxeqozNQB6",https://wapo.st/31AoKFi,,0.0,"talk, politics, misc",0.98039,talk,politics,misc,,,Liberal,0.9998711347579956,0.00012880208669230342
48,48,1-Apr,The New York Times,New York City,"It's a bit less bouncy. The laces are slightly different. And, Major League Baseball hopes, each one is more like t… https://t.co/XcjKuzXDk2",,,0.0,"rec, sport, baseball",0.92449,rec,sport,baseball,,,Liberal,0.8504446148872375,0.14955541491508484
49,49,1-Apr,BBC News (UK),London,Brrrrrrr! Cold and gales forecast for Easter Bank Holiday amid 'spring swing' in temperature https://t.co/jcMjHtZK9Q,https://bbc.in/39vUdwU,,0.0,"rec, sport, baseball",0.63471,rec,sport,baseball,,,Liberal,0.9875172972679138,0.012482649646699429
50,50,1-Apr,The Guardian,London,Greensill wage-advance app used by NHS nurses goes into administration https://t.co/Gzq40BQQ7C,https://www.theguardian.com/money/2021/apr/01/greensill-wage-advance-app-earnd-nhs-nurses-administration?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617288851,,0.0,"sci, med",0.96926,sci,med,,,,Liberal,0.9997226595878601,0.0002773815067484975
51,51,1-Apr,The New York Times,New York City,"Virginia said it would allow residents 16 or older to begin getting vaccinated against Covid-19 on April 19, joinin… https://t.co/3dQagqpxN1",,,0.0,"sci, med",0.49876,sci,med,,,,Liberal,0.9998785257339478,0.00012148743553552777
52,52,1-Apr,The Washington Post,"Washington, DC",Major League Baseball’s Opening Day in Washington postponed as coronavirus issues disrupt Mets-Nationals game https://t.co/gwDGgIIjrn,https://www.washingtonpost.com/sports/2021/04/01/mets-nationals-opening-day-postponed-coronavirus/,,0.0,"rec, sport, baseball",0.99403,rec,sport,baseball,,,Conservative,0.14729490876197815,0.8527050614356995
53,53,1-Apr,The Guardian,London,Jimmy Kimmel on Matt Gaetz: 'The shrimp tail in your Cinnamon Toast Crunch' https://t.co/ydY9CKAyyo,https://www.theguardian.com/culture/2021/apr/01/jimmy-kimmel-matt-gaetz?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617290306,,0.0,"misc, forsale",0.28978,misc,forsale,,,,Liberal,0.9985176920890808,0.001482311636209488
54,54,1-Apr,Tim Farron,Kendal,"RT @NFUPolitical: If you are planning to head out into the beautiful British Countryside this Easter weekend, make sure to stick to #Respec…",,,0.0,"misc, forsale",0.23606,misc,forsale,,,,Liberal,0.9998650550842285,0.00013490642595570534
55,55,1-Apr,The Washington Post,"Washington, DC","Surprise jump pushes weekly jobless claims back above 700,000 https://t.co/ujTIXr0bFR",https://wapo.st/3dtnR6O,,0.0,"sci, space",0.19416,sci,space,,,,Liberal,0.9991580247879028,0.0008420107187703252
56,56,1-Apr,The Times,London,"""In a strange way David Cameron may provide an inspiration of sorts for Keir Starmer""

""He too endured negative lea… https://t.co/FqSqMQwszw",,,0.0,"talk, religion, misc",0.20081,talk,religion,misc,,,Liberal,0.825874924659729,0.1741250902414322
57,57,1-Apr,The Green Party,England and Wales,"RT @natalieben: Yes: #corruption

 The UK’s system of governance has become a network of commercial relationships, largely divorced from pa…",,,0.0,"talk, politics, misc",0.65469,talk,politics,misc,,,Liberal,0.9999288320541382,7.119693327695131e-05
58,58,1-Apr,BBC News (UK),London,Equalities activist Lord Simon Woolley becomes first black man to be elected head of an Oxbridge college https://t.co/80utJKoPZH,https://bbc.in/3fzFMvA,,0.0,"talk, politics, misc",0.71165,talk,politics,misc,,,Liberal,0.9626747369766235,0.037325240671634674
59,59,1-Apr,The New York Times,New York City,New Mexico was set to become the 16th state to legalize recreational marijuana. Gov. Michelle Lujan Grisham said sh… https://t.co/M6YUDV6n5w,,,0.0,"talk, politics, misc",0.95162,talk,politics,misc,,,Conservative,0.00042359106009826064,0.9995763897895813
60,60,1-Apr,The Guardian,London,"Exhibition of Spanish artist Maruja Mallo's works were fakes, experts say https://t.co/z6Y3SSofiV",https://www.theguardian.com/world/2021/apr/01/galician-exhibit-spanish-artist-maruja-mallo-work-were-fake-experts-say?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617290305,,1.0,"comp, graphics",0.32686,comp,graphics,,,,Conservative,0.06163647025823593,0.9383635520935059
61,61,1-Apr,The Washington Post,"Washington, DC","Backlash after U.K. race report seeks to ""dispel myths"" about racism, tell ""new story"" about slave trade https://t.co/cWWXQamr8X",https://wapo.st/3rEQV0w,,0.0,"talk, politics, misc",0.98539,talk,politics,misc,,,Conservative,0.29223427176475525,0.7077657580375671
62,62,1-Apr,BBC News (World),"London, UK","More than 40 children killed by Myanmar military, Save the Children says https://t.co/Iant8GHWAo",https://bbc.in/2Pot3B7,,0.0,"talk, politics, misc",0.92646,talk,politics,misc,,,Conservative,0.0939786285161972,0.9060213565826416
63,63,1-Apr,The Green Party,England and Wales,RT @MJBrewin: So I can now announce that I have been selected as the @TheGreenParty candidate for the Copthorne &amp; Worth ward in the mid Sus…,,,0.0,"misc, forsale",0.2749,misc,forsale,,,,Liberal,0.9998914003372192,0.0001085832409444265
64,64,1-Apr,The Verge,New York,Casio announces first Wear OS smartwatch in iconic G-Shock lineup https://t.co/zfkQhdq1Dt https://t.co/7yfBMCAWBb,https://www.theverge.com/2021/4/1/22362099/casio-gsw-h1000-g-shock-smartwatch-wear-os-google-price?utm_campaign=theverge&utm_content=chorus&utm_medium=social&utm_source=twitter,,0.0,"misc, forsale",0.65244,misc,forsale,,,,Liberal,0.9993792772293091,0.0006206384277902544
65,65,1-Apr,The Green Party,England and Wales,"RT @GreensofColour: The @IRR_News responds to the Commission on Race and Ethnic Disparities report, calling out the governments attempts to…",,,0.0,"talk, politics, misc",0.98415,talk,politics,misc,,,Liberal,0.9998759031295776,0.00012412482465151697
66,66,1-Apr,The New York Times,New York City,"RT @anniekarni: 275 organizations will participate in the admin’s new public awareness push — including NASCAR, the Catholic Health Associa…",,,0.0,"soc, religion, christian",0.47652,soc,religion,christian,,,Liberal,0.9999244213104248,7.55527798901312e-05
67,67,1-Apr,The Guardian,London,Home Office signs legal agreement to ensure Windrush failures are not repeated https://t.co/iaL16F64pP,https://www.theguardian.com/uk-news/2021/apr/01/home-office-signs-legal-agreement-to-ensure-windrush-failures-are-not-repeated?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617290909,,0.0,"misc, forsale",0.56789,misc,forsale,,,,Liberal,0.999586284160614,0.00041370477993041277
68,68,1-Apr,The Guardian,London,Man convicted of murdering and dismembering woman in Exeter https://t.co/nuEKeJEmDP,https://www.theguardian.com/uk-news/2021/apr/01/man-convicted-of-murdering-and-dismembering-woman-in-exeter-lorraine-cox?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617290890,,0.0,"talk, politics, misc",0.92953,talk,politics,misc,,,Conservative,0.00030908238841220737,0.9996908903121948
69,69,1-Apr,Conservatives,,"RT @BenHouchen: Talking Freeports, Treasury North, babies being born in Hartlepool again, and even more jobs with @BorisJohnson! Teesside,…",,,0.0,"rec, sport, baseball",0.43065,rec,sport,baseball,,,Liberal,0.9982718229293823,0.0017281509935855865
70,70,1-Apr,The Washington Post,"Washington, DC",North Carolina’s Roy Williams to retire after 33 seasons as head coach https://t.co/oPMn9IV7ZU,https://wapo.st/3sO3CYk,,0.0,"rec, sport, baseball",0.98685,rec,sport,baseball,,,Liberal,0.6699481010437012,0.33005186915397644
71,71,1-Apr,The Guardian,London,The Fiver | Jogi Löw's stock falling further than an Oxo cube dropped from space https://t.co/Arw7tV19jA,https://www.theguardian.com/football/2021/apr/01/jogi-lows-stock-falling-further-than-an-oxo-cube-dropped-from-space?utm_term=Autofeed&CMP=twt_gu&utm_medium&utm_source=Twitter#Echobox=1617290508,,0.0,"sci, space",0.99567,sci,space,,,,Liberal,0.9898489713668823,0.01015104167163372
72,72,1-Apr,Tim Farron,Kendal,"RT @CarerSupportSL: There has been a change in the way that not previously identified unpaid carers can access Covid vaccination.

Unpaid c…",,,0.0,"sci, med",0.97824,sci,med,,,,Liberal,0.9999030828475952,9.686457633506507e-05
73,73,1-Apr,National Geographic,Global,"Delta duck potato plants, Sagittaria platyphylla, are pictured here in Atchafalaya National Wildlife Refuge, Louisi… https://t.co/owU4twbDLC",,,0.0,"sci, med",0.7248,sci,med,,,,Liberal,0.9998451471328735,0.00015486139454878867
74,74,1-Apr,Tim Farron,Kendal,Love this! Well done @grasmereschool! https://t.co/YqBoYRDEGc,,,0.0,"rec, sport, baseball",0.29487,rec,sport,baseball,,,Liberal,0.9849584102630615,0.015041583217680454
75,75,1-Apr,BBC News (UK),London,"Covid biggest NHS challenge since World War Two, says NHS boss https://t.co/EjNZKKs09I",https://bbc.in/3mb04ww,,0.0,"misc, forsale",0.25128,misc,forsale,,,,Liberal,0.9958932399749756,0.004106810316443443
76,76,1-Apr,The New York Times,New York City,"RT @jessemckinley: In an early draft of @NYGovCuomo's $4 million book obtained by @nytimes, the Gov compared his popularity to @BilldeBlasi…",,,0.0,"rec, sport, baseball",0.34933,rec,sport,baseball,,,Liberal,0.9952357411384583,0.004764271434396505
77,77,1-Apr,The Times,London,"RT @TimesRadio: Listen to John Pienaar 4-7pm 🔊 https://t.co/CurzK2WxfX

🔹 Heathrow Airport CEO John Holland Kaye on Heathrow's future (4:05…",http://times.radio/listen,,0.0,"misc, forsale",0.14295,misc,forsale,,,,Liberal,0.995210587978363,0.004789397120475769
78,78,1-Apr,The Times,London,RT @thetimes2: Still eating farmed salmon? Here’s what to try instead https://t.co/7MSEsHdZ7Q,https://www.thetimes.co.uk/article/has-seaspiracy-put-you-off-farmed-salmon-heres-the-best-fish-to-eat-instead-7xg0r68c6?utm_medium=Social&utm_source=Twitter#Echobox=1617289583,,0.0,"sci, med",0.87519,sci,med,,,,Liberal,0.9998674392700195,0.00013258766557555646
79,79,1-Apr,Liberal Democrats,United Kingdom,"""Poor perinatal mental health is a very real problem and one that urgently needs addressing. The government must ac… https://t.co/bS88cvF0oz",,,0.0,"sci, med",0.97472,sci,med,,,,Liberal,0.9999039173126221,9.601502097211778e-05
80,80,1-Apr,The New York Times,New York City,Roy Williams is retiring as UNC-Chapel Hill's men’s basketball coach. The Hall of Fame coach won three national cha… https://t.co/rdf6QlonDT,,,0.0,"rec, sport, baseball",0.99236,rec,sport,baseball,,,Liberal,0.6348122954368591,0.36518773436546326
81,81,1-Apr,Mayor of London,London,"If you’re travelling over the bank holiday, please follow @TfL’s advice and plan your journey safely:
 
⬅️ 🕛  Befor… https://t.co/DVvJMpYh8A",,,0.0,"misc, forsale",0.32529,misc,forsale,,,,Conservative,0.313553124666214,0.6864468455314636
82,82,1-Apr,The Times,London,Internal City Hall documents show that Jennifer Arcuri bypassed officials to secure Boris Johnson’s attendance at t… https://t.co/OgzaWVG2Io,,,0.0,"rec, sport, baseball",0.35013,rec,sport,baseball,,,Liberal,0.985065758228302,0.014934320002794266
83,83,1-Apr,Scott Galloway,NYC,"Join us in 2 weeks for @Adweek #MediaWeek 
About the event: https://t.co/dis6v0ACMV 
50% off passes:… https://t.co/t3sfnzMP2N",https://event.adweek.com/mediaweek-2021/937197,,0.0,"misc, forsale",0.29455,misc,forsale,,,,Liberal,0.9832914471626282,0.0167084950953722
84,84,1-Apr,The Washington Post,"Washington, DC","Biden Justice Department will continue a Trump-era policy to push D.C. gun cases to federal court, a practice criti… https://t.co/onli1gQ2yb",,,0.0,"talk, politics, guns",0.66952,talk,politics,guns,,,Conservative,0.0040970658883452415,0.995902955532074
85,85,1-Apr,peter pomerantsev,,"RT @ducttapemom: This was lovely to watch, thanks https://t.co/nbSu4W52zI",,,1.0,"sci, electronics",0.13825,sci,electronics,,,,Liberal,0.9879640340805054,0.012035933323204517
86,86,1-Apr,The Guardian,London,Boris Johnson's latest 'build back better' pledge won't get Britain back to work | Polly Toynbee https://t.co/dcSfIBo3c8,https://www.theguardian.com/commentisfree/2021/apr/01/boris-johnson-build-back-better-pledge-britain-empty-promises?CMP=twt_gu&utm_source=Twitter&utm_medium#Echobox=1617290026,,0.0,"misc, forsale",0.21662,misc,forsale,,,,Liberal,0.9920692443847656,0.007930818013846874
87,87,1-Apr,The Washington Post,"Washington, DC",Inside the 144-hour scramble in the Suez Canal to dislodge a colossal ship — and global trade https://t.co/kTDdO82xUY,https://www.washingtonpost.com/world/middle_east/suez-canal-ever-given-ship/2021/03/31/8849b85c-9154-11eb-aadc-af78701a30ca_story.html,,1.0,"sci, space",0.99498,sci,space,,,,Conservative,0.0018877399852499366,0.9981123208999634
